2MASS,more,RAJ2000,DEJ2000,YSO,Teff,log(g),SimbadName
2M03470376+2336588,*,56.76570892,23.61634636,3,4030.0,5.64,2MASS J03470376+2336588
2M03470421+2359426,*,56.76755142,23.99517441,0,6640.0,4.16,2MASS J03470421+2359426
2M03470474+2522502,*,56.76978302,25.38061905,3,3250.0,5.45,2MASS J03470474+2522502
2M03470476+3051362,*,56.76985931,30.86006355,0,7610.0,4.44,2MASS J03470476+3051362
2M03470544+3243084,*,56.77269745,32.7190094,0,4800.0,5.83,2MASS J03470544+3243084
2M03470580+3134594,*,56.77420807,31.58319092,0,6070.0,5.34,2MASS J03470580+3134594
2M03470678+2342546,*,56.77825165,23.71516991,3,5160.0,5.21,2MASS J03470678+2342546
2M03470734+2313349,*,56.78059769,23.22636223,3,4500.0,4.71,2MASS J03470734+2313349
2M03470758+3116294,*,56.78160858,31.27485466,0,3950.0,1.96,2MASS J03470758+3116294
2M03470813+2418246,*,56.78391266,24.30685997,3,3320.0,5.31,2MASS J03470813+2418246
2M03470853+2342389,*,56.78557968,23.71081924,3,4380.0,5.0,2MASS J03470853+2342389
2M03470854+3215041,*,56.78559113,32.25114059,0,4110.0,2.71,2MASS J03470854+3215041
2M03470900+3258014,*,56.78754044,32.96707153,0,4110.0,2.46,2MASS J03470900+3258014
2M03470918+2403078,*,56.78826523,24.05219078,3,3810.0,5.64,2MASS J03470918+2403078
2M03470943+2344318,*,56.78930664,23.74219322,3,3970.0,5.39,2MASS J03470943+2344318
2M03471005+2416360,*,56.79189301,24.27667236,0,6070.0,4.53,2MASS J03471005+2416360
2M03471070+3253270,*,56.79462051,32.89083481,0,4170.0,2.69,2MASS J03471070+3253270
2M03471352+2342515,*,56.8063736,23.71430969,3,4950.0,5.12,2MASS J03471352+2342515
2M03471365+2349535,*,56.80691528,23.83153343,3,3450.0,5.7,2MASS J03471365+2349535
2M03471480+2522186,*,56.81169128,25.37183952,3,5300.0,5.2,2MASS J03471480+2522186
2M03471528+2506554,*,56.81370163,25.11541557,3,3330.0,5.41,2MASS J03471528+2506554
2M03471528+3147409,*,56.81368256,31.79471207,0,6100.0,4.94,2MASS J03471528+3147409
2M03471656+2407420,*,56.81900787,24.1283474,0,5790.0,4.43,2MASS J03471656+2407420
2M03471806+2423267,*,56.82526779,24.39077187,3,4610.0,4.98,2MASS J03471806+2423267
2M03471814+2402114,*,56.82558441,24.03650475,3,4270.0,5.14,2MASS J03471814+2402114
2M03471855+3152187,*,56.82732391,31.87186813,0,5240.0,3.93,2MASS J03471855+3152187
2M03471935+2408208,*,56.83062363,24.13912582,0,7260.0,4.57,2MASS J03471935+2408208
2M03471940+3139174,*,56.83084869,31.65484619,0,4520.0,3.35,2MASS J03471940+3139174
2M03472083+2505123,*,56.83680344,25.0867672,3,4060.0,5.29,2MASS J03472083+2505123
