2MASS,more,RAJ2000,DEJ2000,YSO,Teff,log(g),SimbadName,coords
2M05512655+0850041,*,87.86064911,8.83448029,0,5290.0,4.06,2MASS J05512655+0850041,05h51m26.5558s +08d50m04.129s
2M05512782+0843540,*,87.86592102,8.73169422,0,5320.0,4.08,2MASS J05512782+0843540,05h51m27.821s +08d43m54.0992s
2M05512966+0031127,*,87.87358856,0.52020198,0,5920.0,4.89,2MASS J05512966+0031127,05h51m29.6613s +00d31m12.7271s
2M05513031+0908393,*,87.876297,9.14425755,0,5580.0,3.96,2MASS J05513031+0908393,05h51m30.3113s +09d08m39.3272s
2M05513059+0029486,*,87.87749481,0.49683601,0,5290.0,3.76,2MASS J05513059+0029486,05h51m30.5988s +00d29m48.6096s
2M05513173-0031054,*,87.88222504,-0.51817501,0,4460.0,3.34,2MASS J05513173-0031054,05h51m31.734s -00d31m05.43s
2M05513180+0814032,*,87.88253784,8.23423672,0,5670.0,3.9,2MASS J05513180+0814032,05h51m31.8091s +08d14m03.2522s
2M05513180+0919206,*,87.88249969,9.32240868,0,5340.0,4.05,2MASS J05513180+0919206,05h51m31.7999s +09d19m20.6712s
2M05513394+0900262,*,87.89144897,9.00729656,0,5740.0,4.27,2MASS J05513394+0900262,05h51m33.9478s +09d00m26.2676s
2M05513501+0046334,*,87.89590454,0.775953,3,5310.0,4.72,2MASS J05513501+0046334,05h51m35.0171s +00d46m33.4308s
2M05513535+0925390,*,87.89730072,9.42749977,0,5220.0,5.07,2MASS J05513535+0925390,05h51m35.3522s +09d25m38.9992s
2M05513580+0941123,*,87.89919281,9.68677044,0,5280.0,4.0,2MASS J05513580+0941123,05h51m35.8063s +09d41m12.3736s
2M05513857+0851035,*,87.9107132,8.85098171,0,5100.0,3.88,2MASS J05513857+0851035,05h51m38.5712s +08d51m03.5342s
2M05513880+0835085,*,87.91166687,8.58570957,0,5530.0,4.28,2MASS J05513880+0835085,05h51m38.8s +08d35m08.5545s
2M05514035+0823298,*,87.91815186,8.39162064,0,5450.0,4.05,2MASS J05514035+0823298,05h51m40.3564s +08d23m29.8343s
2M05514074+0819290,*,87.91978455,8.32473183,0,4910.0,4.03,2MASS J05514074+0819290,05h51m40.7483s +08d19m29.0346s
2M05514141+0859523,*,87.92255402,8.99787426,0,4300.0,3.09,2MASS J05514141+0859523,05h51m41.413s +08d59m52.3473s
2M05514148+0846047,*,87.92285919,8.76797867,0,5270.0,3.78,2MASS J05514148+0846047,05h51m41.4862s +08d46m04.7232s
2M05514200+0936400,*,87.9250412,9.61113167,0,4910.0,3.66,2MASS J05514200+0936400,05h51m42.0099s +09d36m40.074s
2M05514284+0933249,*,87.9285202,9.55692673,0,5110.0,3.91,2MASS J05514284+0933249,05h51m42.8448s +09d33m24.9362s
