,Unnamed: 0,Unnamed: 1,YSO,Nepochs,Teff,log(g) (cm/s2),veil,SB2,p,p_error,paper,q,q_err,Max (Jy/bm),x,x_err,y,y_err,Flux (Jy),Flux_err,Disk Mass (Mjup),Disk Mass err,J,J_err,H,H_err,K,K_err,W1,W1_err,W2,W2_err,W3,W3_err,W4,W4_err,[3.6],e[3.6],[4.5],e[4.5],[5.8],e[5.8],[8.0],e[8.0],[24],e[24],alpha,YSO.1,HCO+
31,36,05 35 44.63 -04 50 09.8,3.0,1.0,3950.0,4.58,0.203,2.0,2.557,0.027,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000608,-10.0,0.628,-10.0,12.264,0.023,11.505,0.032,11.291,0.024,11.135,0.023,11.086,0.023,,,,,,,,,,,,,,,,,
34,40,05 35 43.37 -06 22 19.5,2.0,4.0,3220.0,3.19,0.691,2.0,2.623,0.053,F17,0.948,0.0195,,0.0,0.0,0.0,0.0,0.00063,-10.0,0.618,-10.0,12.102,0.019,11.208,0.03,10.669,0.016,10.151,0.023,9.647,0.02,7.834,0.045,5.563,0.07,10.06,0.01,9.7,0.01,9.36,0.01,8.77,0.01,6.05,0.01,-1.36,D,
35,41,05 36 17.23 -06 17 24.5,2.0,1.0,3070.0,4.41,0.064,2.0,2.555,-10.0,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.0006,-10.0,0.621,-10.0,12.22,0.017,11.596,0.03,11.322,0.02,11.066,0.023,10.698,0.02,8.835,0.048,6.615,0.1,10.92,0.01,10.72,0.01,10.51,0.01,9.79,0.01,6.51,0.02,-1.55,D,
37,45,05 40 20.47 -09 11 57.2,3.0,1.0,4680.0,4.53,0.566,2.0,2.453,0.02,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00076,-10.0,0.853,-10.0,11.949,0.019,11.358,0.024,11.249,0.021,11.087,0.023,11.126,0.02,,,,,,,,,,,,,,,,,
40,49,05 41 33.38 -07 59 56.2,2.0,5.0,4080.0,4.19,0.447,2.0,3.158,0.263,F17,0.984,0.0245,0.00642,0.0597,0.005,-0.066,0.004,0.00653,8e-05,4.53,0.8,13.732,0.026,12.044,0.02,11.22,0.021,10.464,0.023,9.864,0.02,7.627,0.018,4.53,0.025,9.99,0.01,9.92,0.01,9.07,0.01,8.83,0.01,4.49,0.01,-1.32,D,
41,50,05 42 01.51 -07 56 15.3,3.0,1.0,3510.0,4.21,0.56,2.0,2.367,0.06,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00064,-10.0,0.773,-10.0,13.185,0.023,12.408,0.02,12.107,0.021,11.944,0.023,11.75,0.022,,,7.167,0.094,,,,,,,,,,,,,
42,51,05 42 23.93 -08 09 45.9,3.0,1.0,4480.0,4.55,0.000441,2.0,2.403,0.029,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00062,-10.0,0.726,-10.0,12.161,0.023,11.313,0.024,11.017,0.023,10.86,0.024,10.863,0.025,,,,,,,,,,,,,,,,,
43,53,05 34 45.56 -05 29 20.9,3.0,2.0,3610.0,3.81,0.294,1.0,2.488,0.064,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00073,-10.0,0.799,-10.0,11.934,0.02,11.157,0.03,10.925,0.019,10.676,0.025,10.51,0.027,7.768,0.092,3.771,0.105,,,,,,,,,,,,,
44,54,05 34 54.31 -04 54 12.9,2.0,1.0,4020.0,4.12,0.177,3.0,2.555,-10.0,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00062,-10.0,0.642,-10.0,,,,,,,,,,,,,,,10.52,0.01,10.31,0.01,9.93,0.02,9.26,0.05,,,-1.37,D,
45,55,05 35 13.52 -05 27 28.6,3.0,1.0,3980.0,4.28,0.384,1.0,2.626,0.073,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00076,-10.0,0.744,-10.0,12.244,0.021,11.3,0.03,10.88,0.017,,,,,,,,,,,,,,,,,,,,,
46,56,05 35 21.47 -05 57 42.1,3.0,7.0,3880.0,4.65,0.282,3.0,2.653,0.089,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000593,-10.0,0.569,-10.0,11.987,0.017,11.346,0.03,11.086,0.018,11.006,0.024,10.894,0.022,,,,,,,,,,,,,,,,,
47,57,05 35 42.61 -05 26 08.3,3.0,2.0,3090.0,3.53,0.204,1.0,2.43,0.079,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000644,-10.0,0.737,-10.0,12.779,0.024,12.047,0.04,,,,,,,,,,,,,,,,,,,,,,,
48,59,05 34 39.03 -04 55 28.8,3.0,1.0,3970.0,4.24,0.47,1.0,2.53,0.036,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000675,-10.0,0.712,-10.0,12.114,0.017,11.206,0.028,10.868,0.017,10.685,0.024,10.655,0.022,,,,,,,,,,,,,,,,,
49,60,05 34 48.23 -04 47 40.1,3.0,1.0,4010.0,4.23,0.243,1.0,2.517,0.02,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000685,-10.0,0.73,-10.0,10.725,0.019,9.972,0.028,9.724,0.019,9.498,0.024,9.417,0.023,6.7,0.05,4.445,0.094,,,,,,,,,,,,,
50,61,05 35 02.0 -05 20 55.0,3.0,2.0,4200.0,4.37,0.405,1.0,2.998,0.668,F17,1.0,-10.0,,0.0,0.0,0.0,0.0,0.000724,-10.0,0.544,-10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,62,05 35 04.63 -05 09 55.7,2.0,1.0,3660.0,4.03,0.324,1.0,2.694,0.036,F17,1.0,-10.0,0.00373,-0.036,0.008,-0.1071,0.006,0.003636,7e-05,3.39,0.11,11.399,0.023,10.706,0.034,10.389,0.023,10.158,0.023,10.175,0.021,,,,,10.21,0.01,10.12,0.01,10.02,0.01,10.05,0.07,5.35,0.02,-2.64,D,
52,63,05 35 23.62 -05 20 03.26*,0.0,1.0,4010.0,4.13,0.513,0.0,2.555,-10.0,F17,1.0,-10.0,1370,1.939,0.03,-1.617,0.024,0.00101,7e-05,1.05,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,64,05 36 37.08 -05 04 41.46*,2.0,1.0,4000.0,4.53,0.453,2.0,2.521,0.083,F17,1.0,-10.0,0.00183,0.5997,0.016,-0.282,0.013,0.00192,7e-05,2.05,0.16,11.379,0.024,10.643,0.031,10.434,0.019,10.385,0.023,10.263,0.021,,,,,10.32,0.01,10.27,0.01,10.2,0.01,10.12,0.01,6.78,0.02,-2.6,D,
54,67,05 34 30.207 -04 58 30.42,0.0,1.0,3890.0,4.59,0.307,0.0,3.136,0.151,K16,1.0,-10.0,,0.0,0.0,0.0,0.0,0.00069,-10.0,0.474,-10.0,12.419,0.025,11.717,0.035,11.486,0.025,11.437,0.026,11.315,0.025,,,,,,,,,,,,,,,,,
