,,YSO,Nepochs,Teff,log(g) (cm/s2),veil,SB2,p,p_error,paper,q,q_err,Max (Jy/bm),x,x_err,y,y_err,Flux (Jy),Flux_err,Disk Mass (Mjup),Disk Mass err,J,J_err,H,H_err,K,K_err,W1,W1_err,W2,W2_err,W3,W3_err,W4,W4_err,[3.6],e[3.6],[4.5],e[4.5],[5.8],e[5.8],[8.0],e[8.0],[24],e[24],alpha,YSO,HCO+,Cloud contamination?
50,05 42 01.51 -07 56 15.3,3,1,3510,4.21,0.56,2,2.367,0.06,F17,1,-10,,0,0,0,0,6.30E-04,1.26E-04,0.76,-10,13.185,0.023,12.408,0.02,12.107,0.021,11.944,0.023,11.75,0.022,,,7.167,0.094,,,,,,,,,,,,,,
51,05 42 23.93 -08 09 45.9,3,1,4480,4.55,0.000441,2,2.403,0.029,F17,1,-10,,0,0,0,0,6.65E-04,1.33E-04,0.778,-10,12.161,0.023,11.313,0.024,11.017,0.023,10.86,0.024,10.863,0.025,,,,,,,,,,,,,,,,,,
52,05 34 13.47 -04 23 53.9,3,1,3500,4.35,0.599,1,4.265,0.037,F17,1,-10,,0,0,0,0,6.40E-04,1.28E-04,0.24,-10,,,,,,,12.096,0.024,11.952,0.022,,,,,,,,,,,,,,,,,,
53,05 34 45.56 -05 29 20.9,3,2,3610,3.81,0.294,1,2.488,0.064,F17,1,-10,,0,0,0,0,7.60E-04,1.52E-04,0.829,-10,11.934,0.02,11.157,0.03,10.925,0.019,10.676,0.025,10.51,0.027,7.768,0.092,3.771,0.105,,,,,,,,,,,,,,
54,05 34 54.31 -04 54 12.9,2,1,4020,4.12,0.177,3,2.555,-10,F17,1,-10,,0,0,0,0,6.85E-04,1.37E-04,0.709,-10,,,,,,,,,,,,,,,10.52,0.01,10.31,0.01,9.93,0.02,9.26,0.05,,,-1.37,D,,
55,05 35 13.52 -05 27 28.6,3,1,3980,4.28,0.384,1,2.626,0.073,F17,1,-10,,0,0,0,0,7.85E-04,1.57E-04,0.769,-10,12.244,0.021,11.3,0.03,10.88,0.017,,,,,,,,,,,,,,,,,,,,,,
56,05 35 21.47 -05 57 42.1,3,7,3880,4.65,0.282,3,2.653,0.089,F17,1,-10,,0,0,0,0,5.85E-04,1.17E-04,0.561,-10,11.987,0.017,11.346,0.03,11.086,0.018,11.006,0.024,10.894,0.022,,,,,,,,,,,,,,,,,,
57,05 35 42.61 -05 26 08.3,3,2,3090,3.53,0.204,1,2.43,0.079,F17,1,-10,,0,0,0,0,6.65E-04,1.33E-04,0.761,-10,12.779,0.024,12.047,0.04,,,,,,,,,,,,,,,,,,,,,,,,
58,05 33 51.3 -04 51 47.7,0,1,6590,4.52,0.232,1,0.857,0.077,F17,1,-10,,0,0,0,0,7.20E-04,1.44E-04,6.622,-10,13.298,0.023,12.362,0.028,11.967,0.021,11.693,0.024,11.579,0.023,,,,,,,,,,,,,,,,,,
59,05 34 39.03 -04 55 28.8,3,1,3970,4.24,0.47,1,2.53,0.036,F17,1,-10,,0,0,0,0,6.75E-04,1.35E-04,0.712,-10,12.114,0.017,11.206,0.028,10.868,0.017,10.685,0.024,10.655,0.022,,,,,,,,,,,,,,,,,,
60,05 34 48.23 -04 47 40.1,3,1,4010,4.23,0.243,1,2.517,0.02,F17,1,-10,,0,0,0,0,6.10E-04,1.22E-04,0.65,-10,10.725,0.019,9.972,0.028,9.724,0.019,9.498,0.024,9.417,0.023,6.7,0.05,4.445,0.094,,,,,,,,,,,,,,
61,05 35 02.0 -05 20 55.0,3,2,4200,4.37,0.405,1,2.998,0.668,F17,1,-10,,0,0,0,0,6.55E-04,1.31E-04,0.492,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,05 35 04.63 -05 09 55.7,2,1,3660,4.03,0.324,1,2.694,0.036,F17,1,-10,0.00373,-0.036,0.008,-0.1071,0.006,0.003636,0.00007,3.39,0.11,11.399,0.023,10.706,0.034,10.389,0.023,10.158,0.023,10.175,0.021,,,,,10.21,0.01,10.12,0.01,10.02,0.01,10.05,0.07,5.35,0.02,-2.64,D,,
63,05 35 23.62 -05 20 03.26*,0,1,4010,4.13,0.513,0,2.555,-10,F17,1,-10,1370,1.939,0.03,-1.617,0.024,0.00101,0.00007,1.05,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,05 36 37.08 -05 04 41.46*,2,1,4000,4.53,0.453,2,2.521,0.083,F17,1,-10,0.00183,0.5997,0.016,-0.282,0.013,0.00192,0.00007,2.05,0.16,11.379,0.024,10.643,0.031,10.434,0.019,10.385,0.023,10.263,0.021,,,,,10.32,0.01,10.27,0.01,10.2,0.01,10.12,0.01,6.78,0.02,-2.6,D,,
65,05 36 50.78 -04 59 33.4,3,1,5860,5.1,0.0579,1,3.556,0.028,F17,1,-10,,0,0,0,0,6.40E-04,1.28E-04,0.342,-10,9.877,0.017,9.531,0.028,9.486,0.018,9.478,0.023,9.518,0.019,,,,,,,,,,,,,,,,,,
66,05 34 21.59 -05 10 13.95,0,4,5490,,0.119,1,1.315,0.042,K16,1,-10,,0,0,0,0,7.40E-04,1.48E-04,2.891,-10,12.974,0.019,12.15,0.029,11.858,0.021,11.624,0.047,11.638,0.071,,,4.978,0.107,,,,,,,,,,,,,,
67,05 34 30.207 -04 58 30.42,0,1,3890,4.59,0.307,0,3.136,0.151,K16,1,-10,,0,0,0,0,6.00E-04,1.20E-04,0.412,-10,12.419,0.025,11.717,0.035,11.486,0.025,11.437,0.026,11.315,0.025,,,,,,,,,,,,,,,,,,
